Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Low stock level;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
;1;FARO DELANTERO JEEP GRAND CHEROKEE IZQUIERDO;undefined,undefined;60.42;1;0;1;;;JEEP;GRAND CHEROKEE;0301010501;55156351AF;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;333-1172L-US;;;;;;8;1;;;;2;;2005/2007;;55156351AF,0301010501;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0301010501.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO JEEP GRAND CHEROKEE DERECHO;undefined,undefined;60.42;1;0;1;;;JEEP;GRAND CHEROKEE;0301010502;55156350AF;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;333-1172R-US;;;;;;8;1;;;;2;;2005/2007;;55156350AF,0301010502;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0301010502.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO JEEP CHEROKEE IZQUIERDO;undefined,undefined;24;1;0;1;;;JEEP;CHEROKEE;0301019301;AM56005093;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;333-1109L-S;;;;;;11;1;;;;6;;1993/ 1997;;AM56005093,0301019301;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0301019301.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO JEEP CHEROKEE DERECHO;undefined,undefined;24;1;0;1;;;JEEP;CHEROKEE;0301019302;AM56005092;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;333-1109R-S;;;;;;10;1;;;;6;;1993/ 1997;;AM56005092,0301019302;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0301019302.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO RANGER IZQUIERDO;undefined,undefined;30.96;1;0;1;;;HINO;RANGER;0302019001;UN81150-2272A;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;219-1104L-LD-E;;;;;;18;1;;;;4;;1990/1994;;UN81150-2272A,0302019001;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302019001.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO RANGER DERECHO;undefined,undefined;30.96;1;0;1;;;HINO;RANGER;0302019002;UN81110-2852A;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;219-1104R-LD-E;;;;;;17;1;;;;4;;1990/1994;;UN81110-2852A,0302019002;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302019002.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO GH IZQUIERDO;undefined,undefined;51.11;1;0;1;;;HINO;GH;0302020301;IZ81150-3120;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;219-1107L-LD-EC;;;;;;1;1;;;;4;;2003/ 2018;;IZ81150-3120,0302020301;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302020301.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO GH DERECHO;undefined,undefined;51.11;1;0;1;;;HINO;GH;0302020302;3191074-2G;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;219-1107R-LD-EC;;;;;;7;1;;;;4;;2003/ 2018;;3191074-2G,0302020302;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302020302.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO FC IZQUIERDO;undefined,undefined;33.2;1;0;1;;;HINO;FC;0302029601;UN81150-2592A;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;219-1105L-LD;;;;;;6;1;;;;4;;1996/ 2000;;UN81150-2592A,0302029601;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302029601.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO FC DERECHO;undefined,undefined;33.2;1;0;1;;;HINO;FC;0302029602;UN81110-32002A;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;219-1105R-LD;;;;;;5;1;;;;4;;1996/ 2000;;UN81110-32002A,0302029602;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302029602.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO DUTRO IZQUIERDO;undefined,undefined;34.41;1;0;1;;;HINO;DUTRO;0302030501;UN81170-37170;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;212-11A8L-LD-E;;;;;;23;1;;;;4;;2005/ 2018;;UN81170-37170,0302030501;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302030501.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO DUTRO DERECHO;undefined,undefined;34.41;1;0;1;;;HINO;DUTRO;0302030502;UN81130-37170;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;212-11A8R-LD-E;;;;;;11;1;;;;4;;2005/ 2018;;UN81130-37170,0302030502;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302030502.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO DUTRO 616 IZQUIERDO;undefined,undefined;107.43;1;0;1;;;HINO;DUTRO 616;0302041201;81150-37440;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;212-11W5LMLD-EM;;;;;;19;1;;;;2;;2012/ 2018;;81150-37440,0302041201;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302041201.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO HINO DUTRO 616 DERECHO;undefined,undefined;107.43;1;0;1;;;HINO;DUTRO 616;0302041202;81110-37440;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;212-11W5RMLD-EM;;;;;;11;1;;;;2;;2012/ 2018;;81110-37440,0302041202;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0302041202.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CAVALIER IZQUIERDO;undefined,undefined;0;1;0;1;;;CHEVROLET;CAVALIER;0303011701;26201823;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;135-1118L-MLD-M2;;;;;;0;1;;;;0;;2017/2020;;26201823,0303011701;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303011701.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CAVALIER DERECHO;undefined,undefined;0;1;0;1;;;CHEVROLET;CAVALIER;0303011702;26201824;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;135-1118R-MLD-M2;;;;;;0;1;;;;0;;2017/2020;;26201824,0303011702;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303011702.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO IZQUIERDO;undefined,undefined;34.2;1;0;1;;;CHEVROLET;SILVERADO;0303020401;GM2502224;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;335-1124L-US;;;;;;3;1;;;;6;;2003/ 2007;;GM2502224,0303020401;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303020401.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO DERECHO;undefined,undefined;34.2;1;0;1;;;CHEVROLET;SILVERADO;0303020402;GM2503224;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;335-1124R-US;;;;;;0;1;;;;6;;2003/ 2007;;GM2503224,0303020402;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303020402.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO IZQUIERDO;undefined,undefined;19.60629;1;0;1;;;CHEVROLET;SILVERADO;0303029401;GM15602613;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;332-1117L-HS;;;;;;0;1;;;;0;;1992/1999;;GM15602613,0303029401;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303029401.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO DERECHO;undefined,undefined;19.60629;1;0;1;;;CHEVROLET;SILVERADO;0303029402;GM15602614;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;332-1117R-HS;;;;;;0;1;;;;0;;1992/1999;;GM15602614,0303029402;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303029402.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO IZQUIERDO;undefined,undefined;20.56;1;0;1;;;CHEVROLET;SILVERADO;0303029501;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;332-1117L-HSB;;;;;;10;1;;;;6;;1992/1999;;null,0303029501;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303029501.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO DERECHO;undefined,undefined;20.56;1;0;1;;;CHEVROLET;SILVERADO;0303029502;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;332-1117R-HSB;;;;;;17;1;;;;6;;1992/1999;;null,0303029502;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303029502.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO IZQUIERDO;undefined,undefined;25.86;1;0;1;;;CHEVROLET;SILVERADO;0303029901;GM16525403;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;332-1182L-HS;;;;;;10;1;;;;6;;1999/ 2002;;GM16525403,0303029901;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303029901.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SILVERADO DERECHO;undefined,undefined;25.86;1;0;1;;;CHEVROLET;SILVERADO;0303029902;GM16524404;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;332-1182R-HS;;;;;;1;1;;;;6;;1999/ 2002;;GM16524404,0303029902;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303029902.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET ESTEEM IZQUIERDO;undefined,undefined;27.26;1;0;1;;;CHEVROLET;ESTEEM;0303039601;S3512060G00;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;218-1113L-LD-E;;;;;;30;1;;;;6;;1996/1999;;S3512060G00,0303039601;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303039601.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET ESTEEM DERECHO;undefined,undefined;27.26;1;0;1;;;CHEVROLET;ESTEEM;0303039602;S3532060G00;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;218-1113R-LD-E;;;;;;21;1;;;;6;;1996/1999;;S3532060G00,0303039602;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303039602.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET ESTEEM IZQUIERDO;undefined,undefined;42.61;1;0;1;;;CHEVROLET;ESTEEM;0303040001;S3532065G30;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;218-1121L-LD-EM;;;;;;11;1;;;;4;;2000/2004;;S3532065G30,0303040001;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303040001.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET ESTEEM DERECHO;undefined,undefined;42.61;1;0;1;;;CHEVROLET;ESTEEM;0303040002;S3512065G30;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;218-1121R-LD-EM;;;;;;14;1;;;;4;;2000/2004;;S3512065G30,0303040002;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303040002.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET EQUINIOX IZQUIERDO;undefined,undefined;0;1;0;1;;;CHEVROLET;EQUINIOX;0303051701;84258431;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;135-1120L-MLD-M2;;;;;;0;1;;;;2;;2017/2020;;84258431,0303051701;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303051701.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET EQUINIOX DERECHO;undefined,undefined;0;1;0;1;;;CHEVROLET;EQUINIOX;0303051702;84258432;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;135-1120R-MLD-M2;;;;;;0;1;;;;2;;2017/2020;;84258432,0303051702;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303051702.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA IZQUIERDO;undefined,undefined;24.25863;1;0;1;;;CHEVROLET;CORSA;0303069601;OC90444786;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1102L-LD-E;;;;;;0;1;;;;0;;1996/ 2000;;OC90444786,0303069601;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303069601.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA DERECHO;undefined,undefined;24.25863;1;0;1;;;CHEVROLET;CORSA;0303069602;OC90444787;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1102R-LD-E;;;;;;0;1;;;;0;;1996/ 2000;;OC90444787,0303069602;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303069602.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA IZQUIERDO;undefined,undefined;17.94;1;0;1;;;CHEVROLET;CORSA;0303069701;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1102L-LDCE;;;;;;43;1;;;;6;;1996/ 2000;;null,0303069701;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303069701.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA DERECHO;undefined,undefined;17.94;1;0;1;;;CHEVROLET;CORSA;0303069702;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1102R-LDCE;;;;;;43;1;;;;6;;1996/ 2000;;null,0303069702;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303069702.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA IZQUIERDO;undefined,undefined;22.63;1;0;1;;;CHEVROLET;CORSA;0303070001;OC01603801;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1123L-LD-E;;;;;;0;1;;;;0;;2000/2002;;OC01603801,0303070001;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303070001.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA DERECHO;undefined,undefined;22.63;1;0;1;;;CHEVROLET;CORSA;0303070002;OC01603791;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1123R-LD-E;;;;;;0;1;;;;0;;2000/2002;;OC01603791,0303070002;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303070002.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA IZQUIERDO;undefined,undefined;23;1;0;1;;;CHEVROLET;CORSA;0303070101;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1123L-LD-E;;;;;;24;1;;;;6;;2000/2002;;null,0303070101;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303070101.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA DERECHO;undefined,undefined;23;1;0;1;;;CHEVROLET;CORSA;0303070102;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1123R-LD-E;;;;;;37;1;;;;6;;2000/2002;;null,0303070102;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303070102.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA EVOLUTION IZQUIERDO;undefined,undefined;54.8815;1;0;1;;;CHEVROLET;CORSA EVOLUTION;0303080201;93317177;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1132L-LDEN2;;;;;;0;1;;;;0;;2002/2006;;93317177,0303080201;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303080201.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA EVOLUTION DERECHO;undefined,undefined;54.8815;1;0;1;;;CHEVROLET;CORSA EVOLUTION;0303080202;93317178;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1132R-LDEN2;;;;;;0;1;;;;0;;2002/2006;;93317178,0303080202;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303080202.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA EVOLUTION IZQUIERDO;undefined,undefined;34.32;1;0;1;;;CHEVROLET;CORSA EVOLUTION;0303080301;OC93386797;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1132L-LD-EN;;;;;;177;1;;;;4;;2002/2006;;OC93386797,0303080301;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303080301.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET CORSA EVOLUTION DERECHO;undefined,undefined;34.32;1;0;1;;;CHEVROLET;CORSA EVOLUTION;0303080302;OC93386798;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;442-1132R-LD-EN;;;;;;183;1;;;;4;;2002/2006;;OC93386798,0303080302;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303080302.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SPARK IZQUIERDO;undefined,undefined;31.91;1;0;1;;;CHEVROLET;SPARK;0303090201;GM96563483;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;222-1120L-LD-E;;;;;;14;1;;;;6;;2002/2006;;GM96563483,0303090201;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303090201.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SPARK DERECHO;undefined,undefined;31.91;1;0;1;;;CHEVROLET;SPARK;0303090202;GM96563482;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;222-1120R-LD-E;;;;;;22;1;;;;6;;2002/2006;;GM96563482,0303090202;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303090202.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SPARK IZQUIERDO;undefined,undefined;38.96;1;0;1;;;CHEVROLET;SPARK;0303090501;GM96590405;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;222-1118L-LD-E;;;;;;76;1;;;;4;;2007/ 2017;;GM96590405,0303090501;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303090501.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SPARK DERECHO;undefined,undefined;38.96;1;0;1;;;CHEVROLET;SPARK;0303090502;GM96590406;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;222-1118R-LD-E;;;;;;65;1;;;;4;;2007/ 2017;;GM96590406,0303090502;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303090502.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SPARK GT IZQUIERDO;undefined,undefined;58.53;1;0;1;;;CHEVROLET;SPARK GT;0303091201;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;235-1111L-LD-E;;;;;;0;1;;;;2;;2012/ 2013;;null,0303091201;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303091201.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SPARK GT DERECHO;undefined,undefined;58.53;1;0;1;;;CHEVROLET;SPARK GT;0303091202;null;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;235-1111R-LD-E;;;;;;0;1;;;;2;;2012/ 2013;;null,0303091202;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303091202.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
;1;FARO DELANTERO CHEVROLET SPARK GT IZQUIERDO;undefined,undefined;67.18;1;0;1;;;CHEVROLET;SPARK GT;0303091401;95281472;DEPO AUTO PARTS IND. CO. LTDA;DEPO AUTO PARTS IND. CO. LTDA;;235-1126L-LD-E2;;;;;;18;1;;;;2;;2014/ 2017;;95281472,0303091401;;;;;;;;;;;https://jepimportaciones.com.ec/img/p/productos/0303091401.jpg;;1;CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1;0;new;0;0;0;0;0;0;0;0
